0	1869
0	2270
0	2756
0	2787
0	2959
0	4126
0	4444
0	5416
0	5648
0	5657
0	6076
0	6260
0	6568
0	7607
0	8758
0	9276
0	10418
0	11513
0	11872
0	12008
0	12660
1	1375
1	1853
1	1854
1	1869
1	1945
1	2069
1	2292
1	2513
1	2716
1	3081
1	3086
1	3615
1	4444
1	4691
1	4918
1	5341
1	6122
1	6169
1	6556
1	7015
1	7209
1	7322
1	7521
1	7725
1	8016
1	8194
1	8735
1	8880
1	9637
1	10969
1	11031
1	11872
1	11874
1	12828
1	13062
2	1254
2	1385
2	1680
2	1742
2	1802
2	1853
2	1858
2	1865
2	1909
2	2008
2	2069
2	2095
2	2270
2	2528
2	2956
2	3024
2	3083
2	3156
2	3222
2	3430
2	3513
2	3562
2	3626
2	4010
2	4126
2	4441
2	4626
2	4633
2	4698
2	4821
2	4974
2	5416
2	5535
2	5771
2	6262
2	6554
2	6555
2	6840
2	7026
2	7252
2	7255
2	7619
2	7778
2	7867
2	8090
2	8990
2	9143
2	9155
2	9676
2	9686
2	9923
2	10129
2	10174
2	10230
2	10413
2	10785
2	10811
2	11031
2	11059
2	11147
2	11177
2	11462
2	11874
2	11930
2	12603
2	12606
2	12660
2	12878
2	12887
2	12911
2	12939
2	12968
2	12972
2	13033
3	1351
3	1507
3	1546
3	1799
3	1854
3	1869
3	1961
3	2270
3	2588
3	2787
3	2959
3	3085
3	3086
3	3121
3	3277
3	3490
3	3658
3	4126
3	4531
3	4691
3	4843
3	4897
3	4898
3	5239
3	5240
3	5255
3	5556
3	6076
3	6169
3	6260
3	6281
3	7015
3	7322
3	7344
3	7940
3	8016
3	8141
3	8194
3	8403
3	8493
3	8537
3	8901
3	9276
3	9283
3	9342
3	9528
3	9637
3	10924
3	11147
3	11192
3	11293
3	11513
3	11641
3	11872
3	12008
3	12887
3	13017
4	1546
4	1799
4	1869
4	1961
4	2170
4	2288
4	2384
4	2752
4	3121
4	3354
4	3490
4	3597
4	3960
4	4126
4	4240
4	4480
4	4609
4	4898
4	4918
4	4946
4	5240
4	5774
4	7220
4	7297
4	7607
4	9076
4	9535
4	9802
4	9938
4	11192
4	11293
4	11433
4	11872
4	12887
5	1740
5	3086
5	3277
5	3658
5	4436
5	5423
5	6993
5	7344
5	8194
5	8955
5	9637
5	11695
5	11872
